id,area,centroid_x,centroid_y,perimeter,form_factor,minor_ax,major_ax,eccentricity,convexity,orientation,dist_from_edge,ch_of_int_sat0,ch_of_int_sat1,ch_of_int_sat2
878.0,84.0,515.6904761904761,805.7857142857143,32.14213562373095,12.299010505408503,9.452265519348334,11.355990992732515,0.5542363012051778,1.0595238095238095,-1.5053527583952775,308.158235819265,5.043278571428571,0.6988095238095237,25.98549642857143
883.0,107.0,518.2056074766355,714.8317757009346,37.55634918610404,13.182050132603532,10.162402049035414,13.54977501679822,0.6614319040579202,1.0841121495327102,1.4758383256244636,353.96831819928093,3.9630682242990654,1.3989252336448599,27.34305981308411
884.0,102.0,518.8039215686274,881.186274509804,35.79898987322333,12.564388979834767,10.302358145975159,12.617483958602545,0.5773249784931896,1.0686274509803921,0.49674642195648466,259.7798759665235,21.83107549019608,1.2027745098039215,34.67300294117646
888.0,24.0,517.0833333333334,897.4166666666666,18.449747468305834,14.183049235177398,5.359390264919639,6.859643851255134,0.6241647061489569,1.125,-0.5183068759447563,253.0457136098869,5.092433333333333,16.28925,38.287837499999995
906.0,176.0,527.0738636363636,851.5681818181818,50.284271247461895,14.366522357320019,11.682363419899746,19.390644007047133,0.798138331251784,1.0625,1.0621833111351109,269.8389890778673,2.646313636363636,4.706005681818183,18.390206250000002
913.0,270.0,532.9333333333333,715.425925925926,65.9411254969543,16.10456308075954,14.451012997737855,25.009369843963697,0.8161614282207668,1.0888888888888888,1.1827179184805396,341.2746652428331,26.641225555555557,21.647255555555557,13.817136666666665
914.0,91.0,528.3076923076923,866.8681318681319,38.42031021678297,16.221101507185036,9.365930524793889,13.212654439059534,0.7053485733326683,1.120879120879121,1.1892980899208292,259.7795591428002,10.939581318681318,1.922263736263736,19.382676923076925
945.0,132.0,550.719696969697,711.0378787878788,43.04163056034261,14.034711827977418,12.27949655941136,14.27629779264571,0.5100719813938182,1.0757575757575757,-0.5533497685958647,329.09037833499536,7.081860606060606,2.730439393939393,27.838124999999998
947.0,137.0,552.1970802919708,858.0656934306569,40.97056274847714,12.252459941072285,12.445403188947322,14.056646911094488,0.46487759805632556,1.0437956204379562,-0.6677072047769892,246.1747714428116,3.951181751824817,2.0823503649635033,19.79364087591241
948.0,51.0,548.7450980392157,881.5490196078431,26.485281374238568,13.7543162641684,6.362624338267396,10.437852678909561,0.7927305906436949,1.1176470588235294,-1.5163309304794137,234.61591683183988,26.036988235294114,0.7136078431372549,32.09482941176471
952.0,282.0,558.7234042553191,720.0744680851063,67.84062043356595,16.320389293656614,14.958199485447377,24.788819177555485,0.7974195658253457,1.0886524822695036,-0.9056979962124895,317.3710469218215,24.381598581560283,9.188007092198582,24.107518085106378
957.0,124.0,555.0241935483871,763.9435483870968,39.79898987322333,12.773867701039782,10.2238982377219,15.422813100397928,0.7487013202015306,1.0403225806451613,-1.18152423027188,297.50253663835355,9.599924999999997,46.794314516129035,11.869780645161292
989.0,142.0,570.4084507042254,710.1408450704225,44.04163056034261,13.65961424235003,10.80176511781324,16.9305942160401,0.7700341112776814,1.056338028169014,0.9205772063535729,313.853811117807,42.871814084507044,32.50409154929577,22.025966197183095
1003.0,119.0,575.0672268907563,771.2605042016806,40.21320343559643,13.589090172711465,10.38439069788365,14.769304992142684,0.711084802589653,1.0924369747899159,0.5592322472323639,276.36639965163835,3.3621857142857143,6.3336806722689065,29.96338991596639
1010.0,284.0,580.112676056338,730.0035211267606,63.698484809834994,14.286961151650633,15.411557354091986,24.018162222476953,0.766986999754481,1.0422535211267605,1.212568382875554,294.1759829098461,21.986925000000003,20.29283802816901,15.065394718309857
1014.0,145.0,578.0137931034483,810.9379310344827,47.21320343559643,15.373010887248375,10.641345292796156,17.596840898254612,0.796430221748187,1.1172413793103448,1.188470519518436,256.8572618685218,2.901690344827586,9.060041379310345,20.894462068965517
1017.0,272.0,582.1544117647059,851.9007352941177,77.87005768508881,22.293183396614186,11.911089168197016,33.203451088250155,0.9334411923295007,1.1139705882352942,-1.4082539383301906,228.3730807667822,26.352735294117647,27.483253676470586,14.851455882352939
1020.0,237.0,584.7426160337552,764.210970464135,56.284271247461895,13.366747636531079,15.436121522294686,19.790155992197757,0.6257921198475743,1.0421940928270041,0.960662082118056,271.4552346918953,31.199211814345993,23.608793248945148,18.584639240506327
1023.0,34.0,583.5294117647059,897.0,22.863961030678926,15.375315118011898,5.320468320710709,9.611693834637324,0.8328218087171936,1.2058823529411764,-0.5553131463235117,197.39103870304706,26.134141176470592,1.4674999999999996,27.908973529411764
1034.0,180.0,590.8388888888888,824.8111111111111,51.21320343559642,14.571067811865472,12.527405822676418,18.880623149527317,0.7481710049714394,1.0777777777777777,0.27544194676545836,239.85953612366373,38.099200555555555,27.814016666666664,20.84236
1041.0,224.0,593.0758928571429,812.7589285714286,61.69848480983499,16.994209945667137,13.155957683645612,23.08614743621235,0.8217392221736128,1.0848214285714286,0.909449362313961,242.21219746846126,41.509353125000004,29.929138392857137,28.461439285714285
1047.0,236.0,595.4025423728814,838.4703389830509,57.112698372208094,13.821442014215343,15.391644145303419,20.073147393076805,0.6419125943833637,1.0508474576271187,-1.1946552312409469,228.52047000828674,36.95280042372881,23.738677966101694,16.748324999999998
1048.0,147.0,594.5714285714286,859.469387755102,43.798989873223334,13.050010298739593,12.197675382482203,15.423864595554678,0.6120341529264767,1.0612244897959184,0.20419698737694084,214.2280813146729,3.137478231292517,1.7290544217687072,24.099630612244894
1052.0,38.0,596.1315789473684,765.1052631578948,27.106601717798213,19.33599622861424,6.249750030153109,11.22319095187811,0.8306061351397425,1.4736842105263157,1.2577293514037757,261.23795045432735,6.323889473684211,25.42636842105263,4.394297368421053
1053.0,47.0,594.2765957446809,781.063829787234,25.31370849898476,13.633698680246239,5.721446734781156,10.727635297509096,0.8459027454162518,1.0851063829787233,-1.4547070552995967,254.80788274833972,33.436114893617024,13.600914893617025,15.743106382978722
1063.0,247.0,602.0323886639676,808.0445344129555,73.94112549695429,22.13477748889208,10.017416281407346,32.27725944213546,0.9506206557533059,1.125506072874494,1.157109486761266,235.88979268774136,33.69732064777328,37.886453441295544,16.828276518218622
1064.0,199.0,605.2361809045226,847.4371859296482,54.526911934581186,14.940623744329509,15.934089428213046,16.748911788002687,0.30811003182357083,1.085427135678392,-0.5854782860730207,215.4146049169622,23.238592964824118,18.267793969849244,17.38017135678392
