id,area,centroid_x,centroid_y,perimeter,form_factor,minor_ax,major_ax,eccentricity,convexity,orientation,dist_from_edge,ch_of_int_sat0,ch_of_int_sat1,ch_of_int_sat2
379.0,20.0,651.35,681.15,13.242640687119286,8.768376618407357,3.701241472516059,8.389327241330328,0.8974164041508641,1.25,0.14234870016528706,137.25677024893133,48.945105,37.32616,3.49265
380.0,135.0,653.9333333333334,633.3555555555556,41.79898987322333,12.941892995717232,12.684126376963373,13.605440080409641,0.3617286299739655,1.0666666666666667,1.0595800801620805,185.12521444131633,25.827046666666664,58.714380000000006,48.77317777777777
382.0,84.0,654.1190476190476,601.8928571428571,31.556349186104043,11.854799689944397,9.399601366563473,11.355674749876451,0.5611046716067951,1.0357142857142858,1.3420573610063429,216.51820953316442,32.18725714285714,67.42067142857142,30.691714285714284
385.0,29.0,657.3793103448276,649.6206896551724,20.48528137423857,14.470577689025026,4.850710541118186,10.372593811151399,0.8839154082956276,1.4827586206896552,0.5540804315987257,169.190873102237,31.27273448275862,28.547051724137933,1.2144827586206897
386.0,109.0,658.6880733944954,667.440366972477,38.62741699796952,13.68878297188096,11.00499501076654,12.828841265815512,0.5139296300580101,1.0825688073394495,1.4022498442276936,151.62072155068398,44.08733394495413,35.82381009174313,2.014110091743119
387.0,106.0,658.7358490566038,617.2075471698113,36.384776310850235,12.489169313118946,10.70777239398181,12.6755694567494,0.5351505351477851,1.0660377358490567,-1.2250834678047207,201.59247423275943,24.29945660377358,50.33874245283018,31.061160377358487
390.0,110.0,668.0181818181818,695.2636363636364,40.72792206135785,15.079669413054905,9.505291076416217,15.351200568944895,0.7852421669809512,1.0636363636363637,-0.29454898676446295,125.72514397318812,32.43312,40.505489999999995,18.138299999999997
391.0,121.0,668.8512396694215,671.6859504132232,42.7634559672906,15.11333195261489,10.75534642988953,14.969180509424987,0.6955276324642421,1.0826446280991735,-0.17643544723963786,148.98545988351955,39.194427272727275,34.48909338842975,1.7707024793388428
399.0,133.0,676.0225563909775,645.0075187969925,40.38477631085024,12.262632764491812,11.866994145309711,14.297851680605994,0.5577865732407085,1.037593984962406,0.8119475659975807,176.32065704383515,23.471336842105263,51.96951879699248,22.482541353383457
401.0,16.0,690.0,698.5625,16.414213562373096,16.839150429449553,1.984313483298443,9.38083151964686,0.9773718237284016,1.0,0.0,122.56197466325261,30.371962500000002,38.890018749999996,34.1560625
402.0,33.0,677.3939393939394,676.939393939394,20.52081528017131,12.760723023118555,5.7287532203152995,7.6931826726855554,0.6674515619486191,1.0909090909090908,-1.5115908708245145,145.1086641615058,38.693099999999994,24.073321212121215,1.974454545454545
403.0,77.0,680.2987012987013,619.2467532467532,30.384776310850235,11.990060148836436,9.46294705257922,10.46944700299199,0.4278217583158618,1.051948051948052,1.2572783599002035,202.16705908455165,30.4515,61.650796103896084,34.78546753246752
404.0,52.0,680.2115384615385,634.9038461538462,27.79898987322333,14.861227653299487,7.67711408037513,9.040822728597421,0.5281340681582777,1.0961538461538463,1.44729982046378,186.6452100822392,31.88142692307692,35.60468461538461,6.061903846153846
407.0,115.0,688.6260869565217,613.6782608695652,39.62741699796952,13.655062416790987,11.530661137184588,12.955549907246564,0.45592711807866815,1.0956521739130434,0.07672538541017372,207.44491630286515,16.50269739130435,28.540366086956524,56.23459999999999
411.0,153.0,693.6078431372549,629.8104575163399,43.55634918610405,12.399709506025014,12.786893905090928,15.27939562057958,0.5473990728061742,1.0326797385620916,-1.4846046594482334,191.21572282357567,22.161182352941175,57.39040130718955,67.60475163398692
413.0,107.0,695.4485981308411,590.5981308411215,40.72792206135785,15.502463882579809,9.534460612889687,15.067466705343493,0.774327884981055,1.0654205607476634,1.3144220768877646,230.40707547448326,27.492577570093456,33.6301261682243,27.74809345794392
415.0,54.0,696.8333333333334,694.5370370370371,27.656854249492383,14.164844203290091,6.062688648185112,11.736284633557853,0.8562410504326087,1.0925925925925926,-1.5055725935060125,126.46318698337015,44.10669999999999,31.686251851851853,2.869777777777778
422.0,178.0,715.9606741573034,609.8876404494382,47.21320343559643,12.522958307028171,13.62275074361726,16.64947924363497,0.5749211502717619,1.0337078651685394,0.7476063301246827,211.26793410261362,19.733981460674155,62.54275168539327,52.83989325842697
423.0,164.0,720.0,636.0853658536586,49.62741699796952,15.017564133477768,11.021110511838899,19.187876989997516,0.8185896096961562,1.0975609756097562,-0.22853480393036707,185.0006624597143,21.314941463414634,56.03606890243903,26.830195121951213
428.0,232.0,722.1422413793103,509.0991379310345,56.04163056034262,13.537346361473826,15.755168291365994,19.016795857010617,0.5600082842625227,1.0474137931034482,-0.04583610781200228,311.74873108172335,22.786514224137928,53.45987155172414,85.12006034482758
429.0,192.0,718.21875,683.5416666666666,51.79898987322333,13.974663291074442,12.452362287881382,19.79424000410823,0.7773323147684663,1.0416666666666667,-1.5656044130264237,137.6151397745405,41.5427203125,32.7029703125,5.515354166666666
432.0,136.0,722.6617647058823,596.5441176470588,40.970562748477136,12.342551558286047,12.770790863200268,13.659235732558562,0.35476244693889086,1.0441176470588236,0.7233486088029539,224.42941053421006,22.284536029411765,55.911517647058815,22.888683823529412
433.0,328.0,727.3871951219512,525.5823170731708,68.87005768508881,14.460624529108111,19.31946482880791,22.10854417383326,0.48620264827373283,1.076219512195122,0.8446306359515889,294.962673083266,30.96031829268292,60.85869054878047,41.77185060975609
436.0,183.0,735.311475409836,689.9289617486338,67.07716446627535,24.586590124785534,11.659315485452847,22.500540951736323,0.8552719862274548,1.3114754098360655,0.1389609248431884,130.54867177714732,35.531965573770485,25.331302185792353,3.8203114754098357
438.0,149.0,732.7785234899329,679.6308724832215,50.79898987322333,17.319042766039235,12.3336228531235,16.106318018769475,0.6431228383600289,1.1610738255033557,0.2560655705227864,140.99649331199518,38.486083892617444,22.37696308724832,2.6277114093959733
440.0,124.0,731.7741935483871,547.6774193548387,39.55634918610404,12.618586781717694,11.779401480832595,13.437685929753648,0.4812297739591466,1.0564516129032258,0.3482994762799227,272.66654008565956,23.457331451612895,62.874014516129016,70.25537903225805
441.0,293.0,737.5460750853242,588.0273037542662,64.87005768508881,14.362199263026449,15.465216811723064,24.44474748386855,0.7744295809919212,1.0546075085324231,1.3670161110504753,232.0163973575661,23.280948122866892,53.40079385665529,50.76648464163822
