id,area,centroid_x,centroid_y,perimeter,form_factor,minor_ax,major_ax,eccentricity,convexity,orientation,mask_sat,dist_from_edge,ch_of_int_sat0,ch_of_int_sat1,ch_of_int_sat2
127.0,21.0,372.4761904761905,198.38095238095238,15.621320343559642,11.62026901314811,2.8429305741800865,10.531857069106485,0.9628781811033876,1.1428571428571428,-0.050536425060959005,46.00961904761903,0.0,,24.473742857142856,63.46862857142857,46.00961904761903
150.0,112.0,426.55357142857144,183.85714285714286,37.79898987322333,12.75681817353607,9.774002753731168,14.739039260865034,0.7484980136599049,1.0357142857142858,1.088951295091261,21.781892857142857,0.0,,35.10363214285714,60.65206071428571,21.781892857142857
176.0,125.0,532.736,185.352,40.384776310850235,13.047441261419282,10.699714365937027,14.925498734962286,0.697201892093405,1.064,0.08506329575560714,16.459479999999996,0.0,,33.404659200000005,54.496193600000005,16.459479999999996
189.0,137.0,582.4306569343066,151.7080291970803,42.62741699796952,13.263479415465552,11.959601969970784,14.877407473403949,0.5947959066874992,1.0656934306569343,0.20434137205752795,23.154364963503646,0.0,,36.018295620437954,60.04530437956205,23.154364963503646
193.0,16.0,596.5,198.375,12.82842712474619,10.285533905932738,2.7838821814150108,7.745966692414834,0.9331845119446279,1.125,0.0,3.1184374999999998,0.0,,57.494249999999994,47.173825,3.1184374999999998
209.0,85.0,643.6705882352941,173.28235294117647,36.14213562373095,15.367693734637198,10.819985368621442,10.993513013933434,0.17697442215045103,1.1529411764705881,0.2548562159202609,9.744200000000001,0.0,,27.303151764705873,47.45921176470588,9.744200000000001
246.0,160.0,720.85625,23.575,46.8700576850888,13.730014421272198,11.938972860870287,17.220345583855238,0.7206430965912772,1.05625,0.31707641647822926,0.48060624999999996,0.0,,26.591090625,15.408911875000001,0.48060624999999996
249.0,200.0,735.48,139.14,54.8700576850888,15.053616151824862,11.604482896206656,22.117323000572362,0.8513004858292241,1.06,0.47940144736152474,1.6670799999999997,0.0,,53.844615,28.0008135,1.6670799999999997
255.0,88.0,742.8409090909091,157.63636363636363,31.556349186104043,11.315945158583288,9.519398975474457,11.7375241383267,0.5850146296138525,1.0,0.5803170211168694,1.7209772727272723,0.0,,51.210787499999995,36.081829545454546,1.7209772727272723
264.0,433.0,775.9584295612009,117.36027713625866,91.25483399593904,19.2319739668046,15.867206221749063,35.966404999857474,0.8974248183302661,1.1316397228637414,-0.29887166420594896,6.328212471131638,0.0,,31.262462355658194,15.284928637413392,6.328212471131638
266.0,318.0,780.7012578616352,137.07861635220127,76.76955262170047,18.53322078533345,12.919314601200846,32.623134037272244,0.9182431931188533,1.1069182389937107,-0.3988341829515973,1.6373238993710688,0.0,,62.75787452830188,28.67837201257862,1.6373238993710688
267.0,91.0,780.967032967033,18.021978021978022,33.55634918610404,12.373940337359839,9.163417165629705,12.713498406639026,0.6931817470204686,1.032967032967033,-0.15395203754489076,0.18706593406593405,0.0,,21.16271868131868,13.466892307692303,0.18706593406593405
273.0,136.0,803.3382352941177,120.16911764705883,44.62741699796952,14.644164322872491,10.419026636517781,17.063288711845555,0.791930915584416,1.0735294117647058,0.48736635451416493,3.539264705882353,0.0,,52.40652352941176,31.73561544117647,3.539264705882353
281.0,206.0,829.3106796116505,125.27669902912622,55.45584412271571,14.928886637684188,14.791184893936137,18.51698374785645,0.6016097061986837,1.1019417475728155,-0.016719254343604932,2.185577669902912,0.0,,56.727336407766984,31.73517330097087,2.185577669902912
286.0,392.0,864.5204081632653,132.05357142857142,77.25483399593904,15.225279019745148,18.862283020438184,26.953445561036197,0.7143293110713954,1.058673469387755,0.9675533976661357,1.678640306122449,0.0,,39.94498469387755,33.82514719387755,1.678640306122449
291.0,127.0,884.259842519685,129.60629921259843,39.21320343559643,12.107679714027334,11.715023900654264,13.880858577448985,0.5363908682703772,1.0236220472440944,1.3297849989419326,1.5391417322834646,0.0,,33.532079527559056,35.34684094488188,1.5391417322834646
292.0,137.0,884.8686131386861,155.8102189781022,42.384776310850235,13.112914327889133,11.069482041564314,15.83678877979394,0.7151484114381788,1.051094890510949,1.473133418261862,5.4286788321167885,0.0,,24.515796350364962,47.516652554744525,5.4286788321167885
105.0,670.0,342.7417910447761,228.57611940298509,106.46803743153546,16.918571633616175,22.893673659709336,38.812341617762925,0.8075088075487734,1.0716417910447762,0.7287686952731939,32.54345522388059,27.812292340947973,,47.43107731343284,58.25032970149254,32.54345522388059
145.0,390.0,417.2435897435897,238.2128205128205,73.01219330881976,13.668667619908884,20.628370889293773,24.279491218092364,0.5273933889924968,1.041025641025641,1.261812296407675,9.250517948717949,54.70194740959389,,42.731623846153845,37.34627564102564,9.250517948717949
147.0,260.0,422.0230769230769,289.8461538461538,58.8700576850888,13.329552660944936,16.131151614054044,20.587119708697955,0.6213217542526152,1.0461538461538462,0.9429495434249997,54.710657692307684,106.40884476497372,,26.224300384615383,57.09771769230769,54.710657692307684
148.0,374.0,424.3582887700535,267.38235294117646,74.76955262170047,14.947823527404374,18.632770765750927,26.16196112938297,0.7019679980925541,1.0508021390374331,1.1310649204192482,20.331545454545452,84.43149206433677,,28.505170588235295,45.17390962566845,20.331545454545452
154.0,119.0,444.03361344537814,257.96638655462186,54.87005768508881,25.30019521315104,9.825267920177357,18.23744568864409,0.8424711573126905,1.3277310924369747,-0.6457578904702894,4.099134453781512,80.72302316274406,,33.55126638655462,56.64710420168068,4.099134453781512
