id,area,centroid_x,centroid_y,perimeter,form_factor,minor_ax,major_ax,eccentricity,convexity,orientation,dist_from_edge,ch_of_int_sat0,ch_of_int_sat1,ch_of_int_sat2
5.0,126.0,74.78571428571429,182.37301587301587,45.21320343559643,16.22407749927483,10.850977569247158,15.77400228139976,0.7258029891909419,1.126984126984127,1.0450436999064925,0.0,41.09195238095237,42.90840714285714,1.5369055555555555
6.0,140.0,82.41428571428571,171.72142857142856,41.798989873223334,12.479682531584476,13.106782280836532,13.702823077146034,0.29172466734993274,1.042857142857143,-0.8074486963129439,0.0,53.50132142857143,43.45279714285714,0.999807857142857
8.0,731.0,123.06155950752394,156.04651162790697,121.39696961966999,20.160361467632118,29.657683183402764,37.65867898539174,0.6162646533531978,1.2024623803009575,-0.2726751909163331,0.0,49.96375102599179,56.75219015047879,1.0545612859097127
9.0,283.0,125.06007067137809,138.434628975265,63.941125496954285,14.44688173080303,15.789484430377891,23.413188145581397,0.7383806166485201,1.0494699646643109,-0.2654823811539245,0.0,63.81824734982332,55.715275971731444,0.8272590106007066
41.0,203.0,445.9950738916256,5.458128078817734,55.21320343559643,15.01723070749043,14.785571836408938,18.68533318709309,0.6114372548784452,1.0541871921182266,-0.09448296274670734,163.12860147025384,38.52046798029557,64.64870689655173,8.892604926108374
46.0,136.0,512.0514705882352,80.5,40.97056274847714,12.34255155828605,12.80936320840184,13.676779490809379,0.35046067850648055,1.0294117647058822,-1.2808573866786692,242.7581349545082,0.6597647058823529,36.82719926470588,0.7377551470588235
49.0,226.0,541.9690265486726,94.21238938053098,62.11269837220809,17.070740261402218,13.46909284044476,22.413777322183236,0.7993022706707564,1.1460176991150441,-0.09082773562413204,275.3348824559507,10.111769911504426,43.32310088495574,1.8909358407079646
50.0,333.0,567.5015015015015,159.47747747747746,67.698484809835,13.763017554196576,19.29299771450326,22.37921231743397,0.506747402229623,1.0510510510510511,-1.2411844342940181,0.0,9.660327327327327,48.91702972972973,1.3664138138138138
51.0,85.0,575.9764705882353,42.61176470588235,33.89949493661167,13.51971478773365,8.699977893457609,12.767901628262532,0.7319163483500475,1.0705882352941176,-0.3681416327335015,296.0692842220589,87.88065882352942,40.77239294117647,16.428562352941178
78.0,126.0,797.6031746031746,259.32539682539687,40.38477631085023,12.943890140296903,12.264799773529347,13.137698653897731,0.35842714156473243,1.0793650793650793,0.6327085075486008,575.3799114382423,46.266000000000005,46.138242857142856,0.6947206349206348
94.0,64.0,913.234375,217.0625,34.76345596729059,18.88277923108987,9.01606221257466,11.46818276489276,0.6179968816142538,1.375,-0.3258800567186277,642.3912408633865,24.009249999999998,39.9178828125,1.2903124999999998
10.0,38.0,168.21052631578948,459.7631578947369,21.656854249492376,12.342614104835684,5.279808376354831,9.290126425067523,0.8228043678045266,1.0526315789473684,1.542715725473358,0.0,2.6564210526315786,48.389897368421046,20.471147368421057
12.0,108.0,182.4351851851852,442.9814814814815,39.21320343559643,14.237734478532142,9.920752868140955,14.058951182270302,0.7085567444467781,1.1018518518518519,-0.2698956314278772,0.0,83.52285185185183,40.02377499999999,25.73743333333333
13.0,85.0,192.3764705882353,377.3176470588235,33.55634918610404,13.247394949408768,9.581593502491778,11.451398134734669,0.5476336500497448,1.0941176470588236,-0.44491454985733075,0.0,104.16035294117648,83.23873411764706,12.77561176470588
19.0,73.0,244.41095890410958,394.56164383561645,32.31370849898476,14.303777492566574,7.558226778762066,12.709636916988117,0.8039590116768583,1.1506849315068493,0.052896049720361035,139.43073591804125,16.17101369863014,64.32233424657535,2.273778082191781
22.0,145.0,258.8206896551724,418.4758620689655,49.698484809834994,17.034064775126897,11.031127249008456,17.224605246817475,0.7680178381826473,1.096551724137931,1.1029288509002673,161.5239232821866,118.85575862068966,42.59574,28.51857586206896
23.0,213.0,269.3943661971831,431.4178403755868,54.870057685088796,14.134850846783907,13.891341154761085,19.774846930854075,0.7117081421230643,1.0704225352112675,-1.2737072179366684,174.59312585304127,79.70007981220657,40.629739436619715,20.294131924882628
25.0,103.0,272.4077669902913,457.5145631067961,36.14213562373095,12.682077353826815,10.676986142573137,12.39316820093051,0.5077203662891491,1.0679611650485437,-1.3094845735256884,182.45716072663166,108.94765048543685,40.442557281553405,13.288966019417474
27.0,73.0,275.45205479452056,395.986301369863,34.3492424049175,16.162608956051812,9.490371600759737,11.08015238546486,0.5161139119051963,1.273972602739726,0.931232086682161,169.33020084105726,114.1669726027397,45.611876712328765,18.738872602739725
30.0,57.0,282.6140350877193,407.9473684210526,34.55634918610404,20.949846825823744,7.240797208301035,11.55395642346867,0.7792653007189948,1.2105263157894737,-0.22250473809185395,179.90920180445312,65.69722807017544,26.52366315789473,17.559115789473683
32.0,41.0,288.70731707317077,434.82926829268297,23.692388155425117,13.690957475788498,5.650867189664779,9.483565536932238,0.8030891224045651,1.1219512195121952,-0.7426828857660491,194.18125537347828,86.17170731707316,63.188802439024386,1.2789829268292683
36.0,139.0,314.6115107913669,429.3453237410072,42.97056274847714,13.283951531804398,11.492727752315474,15.573365178678554,0.6748299066186478,1.064748201438849,1.460848658586862,217.41621822691462,83.64089928057554,41.52822086330935,11.21365107913669
37.0,204.0,320.48039215686276,399.36764705882354,55.87005768508881,15.301290910466427,14.861582823412485,17.80570150590576,0.5507760971369146,1.0686274509803921,-0.9345975185652546,213.56250558248047,23.576279411764705,55.2591794117647,2.9611406862745095
38.0,25.0,334.88,396.56,19.86396103067893,15.783077913133246,5.876706057300244,6.733225520958779,0.488092149358876,1.32,0.36922640756802005,226.82280120905864,55.967839999999995,57.114287999999995,22.395696
