id,area,centroid_x,centroid_y,perimeter,form_factor,minor_ax,major_ax,eccentricity,convexity,orientation,mask_sat,dist_from_edge,ch_of_int_sat0,ch_of_int_sat1,ch_of_int_sat2
1.0,61.0,2.918032786885246,125.55737704918033,29.31370849898476,14.086778786286088,6.782433545388971,11.704100315240547,0.8149778637519565,1.098360655737705,-1.4744527355311858,4.272590163934426,0.0,,41.97365409836066,54.0109918032787,4.272590163934426
2.0,67.0,2.671641791044776,149.38805970149255,29.313708498984763,12.825276208409724,7.245994409672564,11.938391558099417,0.794740808627039,1.044776119402985,1.521541141742665,7.683567164179104,0.0,,45.97980447761194,49.68159850746269,7.683567164179104
3.0,273.0,9.446886446886447,183.50915750915752,62.8700576850888,14.478550012184593,15.04022933504018,23.27100975016545,0.7630770267387329,1.0586080586080586,-0.8189478986581276,6.278534798534799,0.0,,4.209160073260073,39.47956813186813,6.278534798534799
10.0,421.0,11.871733966745843,70.91448931116389,78.5269119345812,14.64721115910088,20.69427703325279,26.478215313195356,0.6238318253739206,1.0570071258907363,-0.3413467412290836,20.083486935866983,796.3096750015974,,27.86731733966746,51.58866484560569,20.083486935866983
23.0,174.0,11.442528735632184,46.94252873563219,53.834523779156065,16.65606868119839,11.88641390492965,19.278613577375467,0.7873082518119563,1.1379310344827587,-1.4097349833220434,15.363206896551725,794.958863807774,,30.981737931034484,65.50494310344827,15.363206896551725
25.0,241.0,13.651452282157676,158.83817427385893,59.21320343559643,14.548562079275223,13.511597745530183,23.380030460776428,0.8160991605184903,1.070539419087137,-1.5090765559913095,3.7582614107883816,0.0,,19.577627800829877,40.124617842323644,3.7582614107883816
30.0,172.0,19.203488372093023,140.19767441860466,48.42031021678297,13.630967683078472,13.45876033183233,16.526007713832843,0.5803056485346818,1.0755813953488371,1.457476019446103,41.52342441860465,0.0,,34.89725174418605,31.17711453488372,41.52342441860465
32.0,87.0,19.862068965517242,50.701149425287355,35.79898987322333,14.730662941875243,7.521835065116493,15.11903313035754,0.8674595727803285,1.0689655172413792,-0.8723790183693906,47.540252873563205,786.7790830146032,,27.81617126436782,48.6158275862069,47.540252873563205
34.0,25.0,26.4,198.24,19.621320343559642,15.399848480983499,2.962861198710624,11.224074728777204,0.9645298619017549,1.12,-0.06792125674358136,3.9915999999999996,0.0,,21.668992,38.516148,3.9915999999999996
46.0,416.0,30.21153846153846,182.94471153846155,81.59797974644665,16.005361294955573,17.60862706433003,30.53714985718982,0.8170056351306779,1.0721153846153846,-1.1195486067998783,8.151680288461538,0.0,,15.133380528846155,49.79069350961537,8.151680288461538
49.0,99.0,27.717171717171716,161.14141414141415,34.72792206135785,12.182106774744902,9.425940270622117,13.395924871478725,0.7105543053446501,1.02020202020202,0.10596321048367768,4.286878787878788,0.0,,33.65760606060606,45.4702,4.286878787878788
51.0,251.0,36.92430278884462,94.72908366533865,70.79898987322332,19.970107438521026,14.693713813884209,23.261035545677043,0.7752228356325752,1.203187250996016,0.17610072052731487,20.48185657370518,774.1742266348427,,30.615465737051792,59.587666135458164,20.48185657370518
52.0,124.0,29.35483870967742,146.46774193548387,38.97056274847714,12.247619039782212,11.7415855300657,13.482632202696944,0.4915179385944478,1.0403225806451613,-0.5076054784675259,5.718516129032257,0.0,,5.247825806451612,38.65742419354838,5.718516129032257
57.0,380.0,50.23947368421052,165.69210526315788,82.52691193458118,17.92287156173189,14.900444499769527,34.00874940743579,0.898908882298336,1.1078947368421053,-0.09646935935297268,31.929710526315787,0.0,,29.27352342105263,37.59097736842105,31.929710526315787
61.0,231.0,46.21212121212121,135.72727272727272,58.87005768508881,15.00295970495967,12.337703839305005,24.03858853538506,0.8582416800785434,1.051948051948052,0.24727895385690168,3.9641558441558433,0.0,,18.651997835497834,43.51512857142856,3.9641558441558433
70.0,225.0,49.13333333333333,181.94222222222223,59.284271247461895,15.620554743745053,14.127105192422066,21.135287446009603,0.7437901512861119,1.1111111111111112,0.49345911662096,14.18192,0.0,,36.37924266666667,51.999244000000004,14.18192
96.0,97.0,65.3298969072165,148.62886597938143,34.384776310850235,12.188792185022757,10.451756691854161,11.881335725741245,0.47556868416880343,1.0515463917525774,1.0665609350396756,13.749113402061855,0.0,,41.59222577319587,32.58437010309278,13.749113402061855
98.0,153.0,66.69934640522875,130.01307189542484,44.627416997969526,13.01703495366444,11.485724629698028,17.00946574270581,0.73758447414848,1.0392156862745099,1.2670281532536092,25.943098039215684,0.0,,51.76632549019608,36.29702352941176,25.943098039215684
99.0,116.0,66.28448275862068,177.47413793103448,38.384776310850235,12.70164700374146,11.349172966281378,13.060640855977315,0.494882531097481,1.0603448275862069,-1.4587729110361336,10.32310344827586,0.0,,34.6836,42.900881896551724,10.32310344827586
103.0,247.0,68.90688259109312,54.421052631578945,77.56244584051393,24.356004067865005,10.415846942781076,32.55615540555691,0.9474395633594873,1.174089068825911,-1.4249888279355942,10.922477732793523,738.1450477416803,,28.246037651821865,51.37947692307693,10.922477732793523
110.0,257.0,79.47470817120623,171.91050583657588,61.59797974644666,14.763856454644564,14.702352972138563,22.683709661332607,0.7615161965129668,1.0622568093385214,0.7302946691861115,12.263046692607002,0.0,,3.749838910505837,29.919186770428016,12.263046692607002
111.0,312.0,81.0,23.650641025641026,67.698484809835,14.689374504959806,18.004521702825492,22.28227447502674,0.5891551614257102,1.0769230769230769,0.6827494879430205,25.974749999999997,724.4033794427312,,38.45263589743589,65.25629423076923,25.974749999999997
117.0,142.0,86.07042253521126,161.32394366197184,51.21320343559642,18.470367648843556,8.572840084834775,22.12929682762574,0.9219126712036759,1.1408450704225352,0.43883357146616214,1.025183098591549,0.0,,4.129,32.151714084507034,1.025183098591549
120.0,141.0,84.47517730496453,192.70921985815602,43.21320343559643,13.243836533093921,11.969394964995356,15.056228777314725,0.6066361437161829,1.0638297872340425,0.9473015113133646,19.35851063829787,0.0,,43.290075886524825,34.63483404255319,19.35851063829787
123.0,102.0,84.65686274509804,149.37254901960785,35.55634918610404,12.394646739648643,10.463546861574693,12.579854894518204,0.5551202938870047,1.0588235294117647,-0.9303200829279422,20.965107843137254,0.0,,32.04427843137255,31.222367647058825,20.965107843137254
131.0,461.0,96.17136659436008,129.1127982646421,82.76955262170046,14.860735013441303,20.854237268043214,29.138349313202244,0.698410629419818,1.0563991323210413,-1.5551297699954674,19.680416485900214,0.0,,21.360633622559654,32.74292928416486,19.680416485900214
135.0,70.0,95.71428571428571,196.14285714285714,29.899494936611667,12.771139963778097,8.163384999679,11.387245032432057,0.6971878369003242,1.0285714285714285,0.13530703582427078,5.0482000000000005,0.0,,30.11810571428572,37.439112857142845,5.0482000000000005
136.0,250.0,103.512,171.744,59.35533905932738,14.092225099390857,15.143289421654758,21.497486027254425,0.7097819925475791,1.048,0.3871289659100257,2.0685879999999996,0.0,,12.697500800000002,38.824117199999996,2.0685879999999996
140.0,128.0,99.6328125,153.7578125,39.798989873223334,12.374684335382293,12.09292287668719,13.515380615191553,0.44656204662996063,1.046875,0.9527930039384342,16.504789062499995,0.0,,42.37063671875,36.49634999999999,16.504789062499995
142.0,424.0,106.99056603773585,65.53066037735849,96.91168824543142,22.150649336272856,17.728379483473997,35.60937683528466,0.8672591035753543,1.224056603773585,-0.6932339850589995,5.226238207547169,710.7681633058726,,29.468789858490567,53.49465,5.226238207547169
147.0,100.0,111.33,32.94,38.62741699796952,14.920773439350246,8.193525619965222,15.76915146464684,0.8544144832817846,1.08,0.2360513043753223,4.07378,0.0,,8.708061,48.725127,4.07378
149.0,129.0,112.04651162790698,156.97674418604652,39.79898987322333,12.27875654983669,10.901592955936422,15.067663555197312,0.6903147553140733,1.0232558139534884,0.7860913484071121,5.3967596899224795,0.0,,34.66439534883721,37.84117674418605,5.3967596899224795
155.0,73.0,116.20547945205479,4.342465753424658,29.899494936611664,12.246298595403651,8.060455542593909,11.52413771218426,0.7146902472373855,1.0547945205479452,-0.16156110942502977,5.934328767123288,0.0,,42.800195890410954,64.11687534246576,5.934328767123288
159.0,213.0,125.82159624413146,21.666666666666668,54.8700576850888,14.134850846783909,12.954341590074844,21.07445732568668,0.788765705247073,1.051643192488263,1.0612624443961154,3.5275117370892013,0.0,,12.133056807511737,43.22102957746478,3.5275117370892013
161.0,204.0,125.45588235294117,156.5441176470588,52.384776310850235,13.451788182048118,13.357790706835846,19.544250610617944,0.7299842670356486,1.0392156862745099,1.205248843370254,1.4675,0.0,,4.088519607843137,25.237672058823527,1.4675
169.0,145.0,130.44827586206895,6.875862068965517,47.59188309203678,15.620602318938595,10.546535056762673,17.881174483584946,0.807540436015421,1.0827586206896551,-0.48181423093237835,2.198213793103448,0.0,,18.395406896551723,47.540073103448265,2.198213793103448
173.0,158.0,131.71518987341773,141.4620253164557,45.21320343559642,12.938188385497645,13.433323890074211,15.226461186769987,0.4708084585210768,1.0506329113924051,1.3600949643136009,1.5418037974683543,0.0,,27.08153607594937,35.660990506329114,1.5418037974683543
176.0,291.0,137.6426116838488,76.66323024054982,63.698484809834994,13.943288546628109,16.652914798311087,22.6202214384993,0.6767684708176587,1.0618556701030928,0.2894523704597688,12.04257731958763,0.0,,35.11068900343643,54.8536206185567,12.04257731958763
178.0,117.0,135.83760683760684,113.78632478632478,38.627416997969526,12.75279781141047,12.12974210730471,12.418237585418728,0.21429765483610028,1.0598290598290598,-1.5503254466863934,4.9920085470085445,0.0,,29.199441025641036,53.216899999999995,4.9920085470085445
180.0,186.0,139.38172043010752,52.18817204301075,48.2842712474619,12.534251881174603,14.898994676105174,15.988689108276844,0.3628542207663531,1.0376344086021505,0.6248574621935475,2.168112903225806,0.0,,35.49386075268817,53.30649677419354,2.168112903225806
189.0,280.0,142.79285714285714,98.63214285714285,69.11269837220809,17.059160986742192,13.535774539195884,27.53366309706037,0.8708165009008101,1.1142857142857143,1.5367095477857342,10.960128571428573,0.0,,15.451307857142858,63.39365999999999,10.960128571428573
191.0,229.0,146.00873362445415,9.589519650655022,60.04163056034262,15.742346726395933,15.163291407043097,20.499594205917543,0.6729506369865936,1.1091703056768558,0.4149122261208506,1.9763187772925763,0.0,,6.007785152838427,37.64688995633187,1.9763187772925763
192.0,71.0,142.3661971830986,177.77464788732394,28.727922061357855,11.623852196668329,8.860774269104683,10.18665660293603,0.4933317069759697,1.056338028169014,-0.4122550944034561,0.13228169014084507,0.0,,1.1107591549295774,36.41889295774648,0.13228169014084507
198.0,103.0,148.62135922330097,122.58252427184466,37.21320343559643,13.444878737272676,10.076181377119848,13.31725409992156,0.6538478563482792,1.0679611650485437,-0.3239425805815283,2.20552427184466,0.0,,13.429271844660196,59.81926019417475,2.20552427184466
212.0,87.0,154.41379310344828,65.28735632183908,34.72792206135785,13.86239736436489,7.671056088548501,14.58671605246662,0.8505505558209685,1.0804597701149425,0.09697139206858775,12.178563218390803,0.0,,26.060159770114943,39.39835862068964,12.178563218390803
213.0,146.0,155.2876712328767,84.96575342465754,46.62741699796952,14.89120558837354,11.034563052456154,17.33370188443963,0.7711975731002215,1.0890410958904109,0.7204884913161996,6.834931506849314,0.0,,24.21969589041096,69.32868287671232,6.834931506849314
214.0,275.0,159.35636363636362,135.65818181818182,64.87005768508881,15.302270487515452,14.102300999404365,25.329001097651744,0.8306700595423094,1.0581818181818181,0.13592332493700754,1.00964,0.0,,2.6815978181818183,29.037096,1.00964
216.0,107.0,154.57943925233644,56.63551401869159,37.55634918610404,13.182050132603532,10.532266948881002,13.119291556664864,0.5962381736853413,1.0841121495327102,0.5801541780749341,1.0587943925233643,0.0,,31.762428971962613,45.84588224299066,1.0587943925233643
222.0,192.0,164.76041666666666,76.69270833333333,55.4558441227157,16.017451288348656,11.016718134615973,22.55997934551806,0.8726589614545189,1.0833333333333333,0.25959528071901067,0.9171874999999998,0.0,,22.765413541666664,52.2916453125,0.9171874999999998
237.0,237.0,175.8016877637131,94.14345991561181,71.1126983722081,21.337619703698937,11.1341786855687,30.77672091447851,0.9322663159407338,1.1983122362869199,0.35494046546802577,1.2557341772151895,0.0,,6.2962894514767935,37.85275443037975,1.2557341772151895
244.0,157.0,174.59235668789808,116.21656050955414,46.04163056034261,13.50211302328073,11.724399195507404,17.21414451393064,0.7321987615566246,1.0509554140127388,0.4826444376499852,1.6189235668789808,0.0,,3.1454038216560507,35.83081146496814,1.6189235668789808
260.0,90.0,187.62222222222223,141.44444444444446,34.970562748477136,13.588225099390852,9.782240804735888,12.023007240693364,0.5813875164181814,1.1,1.0464554908719497,16.866466666666664,0.0,,31.69236888888889,18.08708,16.866466666666664
270.0,106.0,195.1320754716981,120.5377358490566,37.31370849898476,13.135026810822712,10.142030690297863,13.763760397126545,0.6760401258376467,1.0377358490566038,1.2568601034710514,4.09238679245283,0.0,,1.8814216981132075,38.55274811320754,4.09238679245283
276.0,41.0,197.390243902439,99.53658536585365,25.071067811865476,15.330693688467246,5.234055831715788,10.633599021056177,0.8704715925693004,1.0731707317073171,1.4865234885757292,2.9493170731707314,0.0,,2.9003707317073175,40.50814390243902,2.9493170731707314
277.0,35.0,197.68571428571428,132.37142857142857,22.242640687119287,14.135287563894124,4.249172634645463,10.56610103608013,0.9155731690294793,1.0285714285714285,1.5557213096024918,3.5052285714285714,0.0,,1.8403542857142858,26.511634285714283,3.5052285714285714
283.0,243.0,208.03292181069958,176.06172839506172,59.698484809834994,14.66629254563827,14.552054398434631,21.977423451453255,0.7493832437489536,1.0658436213991769,1.2682993942809342,9.075551440329216,0.0,,30.129805761316877,24.627166666666664,9.075551440329216
285.0,178.0,209.8876404494382,115.30898876404494,48.8700576850888,13.41731763002195,12.692594784921075,18.112008793108533,0.7133741310756557,1.0449438202247192,0.8736889940928799,4.659724719101124,0.0,,3.829763483146067,40.96781292134831,4.659724719101124
297.0,190.0,224.56315789473683,9.557894736842105,57.698484809834994,17.52165868079347,10.103512110320576,24.464614875095503,0.9107379543599307,1.0789473684210527,0.7923634870586774,1.1431052631578946,580.5350172666573,,4.144212105263158,31.349496315789473,1.1431052631578946
299.0,17.0,224.23529411764707,198.41176470588235,12.621320343559642,9.370454542044264,2.747236188649586,8.631404070621912,0.9479954721178494,1.1764705882352942,-0.037244395106940845,1.3466470588235295,0.0,,1.8216176470588235,25.17395294117647,1.3466470588235295
302.0,51.0,223.0,185.01960784313727,24.14213562373095,11.42828847989449,7.1771448183648845,9.216996745757932,0.6274140327388014,1.0196078431372548,1.1014462424626492,13.23627450980392,0.0,,0.6962627450980392,23.919176470588233,13.23627450980392
307.0,69.0,225.84057971014494,94.20289855072464,29.31370849898476,12.453529071934078,9.022963217436455,9.884064215139887,0.40822830626144363,1.0869565217391304,1.5247001718712891,1.6333913043478259,586.7758640434145,,0.5684855072463769,70.36977391304347,1.6333913043478259
308.0,102.0,228.49019607843138,116.3529411764706,35.798989873223334,12.564388979834774,10.194352169096687,12.761852534922143,0.6015774929721032,1.0686274509803921,-0.31818112478278604,2.4918725490196074,0.0,,2.2669019607843133,22.644794117647063,2.4918725490196074
318.0,111.0,234.0,5.414414414414415,36.97056274847714,12.31371630575753,10.982613116387798,12.9984116164276,0.5348932800760093,1.045045045045045,-0.1358472945040729,1.3802432432432434,571.0323112656143,,32.55214324324324,45.30177567567568,1.3802432432432434
319.0,39.0,231.7948717948718,79.25641025641026,21.071067811865476,11.384356377749572,5.937321987031884,8.39703556663799,0.7071399822977537,1.0512820512820513,0.2559834511170745,0.3913333333333333,578.6607167156676,,0.08469743589743589,47.2004076923077,0.3913333333333333
324.0,140.0,240.5142857142857,45.32142857142857,45.21320343559642,14.60166974934734,9.853168222442228,18.161227326947674,0.840030824080839,1.0785714285714285,0.2922493344461464,1.354292857142857,566.3092291868103,,3.4565628571428575,35.26790142857143,1.354292857142857
325.0,75.0,241.89333333333335,197.05333333333334,37.106601717798206,18.35866521391073,6.157658094876079,16.54536263018689,0.9281652971974942,1.0666666666666667,-0.006851034388177217,4.030733333333333,0.0,,5.351184,36.583008,4.030733333333333
331.0,151.0,243.33774834437085,35.04635761589404,49.11269837220809,15.973888353639012,9.477411509924476,20.57906488292762,0.8876407424250077,1.0662251655629138,0.9166037339676266,1.6327152317880793,562.7723570138138,,4.459866887417219,32.606010596026486,1.6327152317880793
334.0,153.0,243.718954248366,68.47058823529412,45.45584412271572,13.504795849076006,13.514196254026658,14.764733931806697,0.40276734604801245,1.065359477124183,-0.18697278196007233,5.20243137254902,565.4520765222973,,3.6621261437908497,36.83291764705883,5.20243137254902
338.0,53.0,247.0943396226415,2.641509433962264,26.727922061357855,13.478902221094717,6.64495578580397,10.546602346712259,0.7765492618675833,1.0943396226415094,0.16401718761311737,0.5426981132075471,557.9144931694664,,27.578603773584906,40.39218679245282,0.5426981132075471
